group,format,variant,width,height,pixels,exact_em,exact_f1,failures
"formatting-main","spaced","zpix-12-t030-l0-w1024","1039","62","64418","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","spaced","zpix-14-t030-l0-w750","765","96","73440","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-main","spaced","zpix-14-t030-l0-w1024","1039","82","85198","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-followup","legend","zpix-12-t030-l0-w750","765","74","56610","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-followup","legend","zpix-14-t030-l0-w1024","1039","82","85198","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-followup","annotated","zpix-12-t030-l0-w750","765","74","56610","0.8333333333333334","0.9916666666666667","candidate-id=zpix-12-l030-l0-w750"
"formatting-followup","annotated","zpix-14-t030-l0-w1024","1039","82","85198","1","1",""
"formatting-followup","segmented_legend","zpix-12-t030-l0-w750","765","74","56610","0.6666666666666666","0.9837301587301587","candidate-id=zpix-l2-t030-l0-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-followup","segmented_legend","zpix-14-t030-l0-w1024","1039","82","85198","0.6666666666666666","0.9837301587301587","candidate-id=zpix-12-t030-10-w750 | balanced-id=zpix-14-t030-10-w1024"
"formatting-followup","escaped","zpix-12-t030-l0-w750","765","86","65790","1","1",""
"formatting-followup","escaped","zpix-14-t030-l0-w1024","1039","82","85198","0.6666666666666666","0.8038847117794486","candidate-id=zpix-{one}2-t{zero}3{zero}-{ell}{zero}-{w}75{zero} | balanced-id=zpix-{one}4-t{zero}3{zero}-{ell}{zero}-{w}{one}{zero}24"
